,ep_score
1331,49.0
1332,70.0
1333,62.0
1334,46.0
1335,63.0
1336,55.0
1337,60.0
1338,56.0
1339,89.0
1340,83.0
1341,58.0
1342,97.0
1343,57.0
1344,60.0
1345,61.0
1346,55.0
1347,79.0
1348,61.0
1349,54.0
1350,49.0
1351,50.0
1352,88.0
1353,68.0
1354,102.0
1355,50.0
1356,95.0
1357,58.0
1358,66.0
1359,56.0
1360,93.0
1361,52.0
1362,51.0
1363,54.0
1364,56.0
1365,72.0
1366,95.0
1367,57.0
1368,76.0
1369,62.0
1370,51.0
1371,100.0
1372,54.0
1373,77.0
1374,119.0
1375,83.0
1376,59.0
1377,93.0
1378,87.0
1379,131.0
1380,75.0
1381,102.0
1382,98.0
1383,65.0
1384,104.0
1385,56.0
1386,111.0
1387,89.0
1388,56.0
1389,78.0
1390,135.0
1391,99.0
1392,120.0
1393,123.0
1394,87.0
1395,118.0
1396,134.0
1397,112.0
1398,198.0
1399,142.0
1400,43.0
1401,130.0
1402,111.0
1403,123.0
1404,160.0
1405,118.0
1406,123.0
1407,168.0
1408,115.0
1409,117.0
1410,73.0
1411,127.0
1412,221.0
1413,150.0
1414,113.0
1415,164.0
1416,166.0
1417,100.0
1418,152.0
1419,112.0
1420,115.0
1421,113.0
1422,103.0
1423,153.0
1424,154.0
1425,115.0
1426,59.0
1427,106.0
1428,104.0
1429,104.0
1430,62.0
1431,113.0
1432,112.0
1433,93.0
1434,125.0
1435,99.0
1436,90.0
1437,100.0
1438,163.0
1439,75.0
1440,99.0
1441,111.0
1442,108.0
1443,123.0
1444,80.0
1445,94.0
1446,134.0
1447,113.0
1448,119.0
1449,98.0
1450,111.0
1451,115.0
1452,110.0
1453,120.0
1454,127.0
1455,116.0
1456,60.0
1457,150.0
1458,98.0
1459,160.0
1460,125.0
1461,117.0
1462,214.0
1463,185.0
1464,232.0
1465,364.0
1466,157.0
1467,518.0
1468,981.0
1469,1000.0
1470,1000.0
1471,1000.0
1472,1000.0
1473,1000.0
1474,1000.0
1475,1000.0
1476,619.0
1477,1000.0
1478,224.0
1479,1000.0
1480,202.0
1481,307.0
1482,1000.0
1483,650.0
1484,415.0
1485,410.0
1486,346.0
1487,1000.0
1488,896.0
1489,1000.0
1490,715.0
1491,602.0
1492,180.0
1493,722.0
1494,473.0
1495,317.0
1496,229.0
1497,389.0
1498,153.0
1499,400.0
1500,110.0
1501,150.0
1502,122.0
1503,116.0
1504,97.0
1505,202.0
1506,309.0
1507,168.0
1508,354.0
1509,156.0
1510,98.0
1511,178.0
1512,184.0
1513,171.0
1514,419.0
1515,112.0
1516,52.0
1517,129.0
1518,173.0
1519,191.0
1520,226.0
1521,75.0
1522,157.0
1523,179.0
1524,82.0
1525,178.0
1526,565.0
1527,267.0
1528,61.0
1529,126.0
1530,92.0
1531,518.0
1532,392.0
1533,189.0
1534,85.0
1535,181.0
1536,477.0
1537,72.0
1538,353.0
1539,374.0
1540,229.0
1541,339.0
1542,481.0
1543,240.0
1544,469.0
1545,249.0
1546,254.0
1547,295.0
1548,601.0
1549,402.0
1550,582.0
1551,494.0
1552,392.0
1553,602.0
1554,508.0
1555,312.0
1556,345.0
1557,86.0
1558,179.0
1559,161.0
1560,123.0
1561,52.0
1562,133.0
1563,70.0
1564,68.0
1565,129.0
1566,63.0
1567,60.0
1568,60.0
1569,49.0
1570,74.0
1571,66.0
1572,61.0
1573,57.0
1574,61.0
1575,46.0
1576,53.0
1577,49.0
1578,46.0
1579,75.0
1580,58.0
1581,62.0
1582,73.0
1583,43.0
1584,66.0
1585,80.0
1586,65.0
1587,53.0
1588,60.0
1589,66.0
1590,51.0
1591,122.0
1592,74.0
1593,119.0
1594,61.0
1595,71.0
1596,138.0
1597,69.0
1598,77.0
1599,74.0
1600,90.0
1601,188.0
1602,43.0
1603,59.0
1604,63.0
1605,59.0
1606,147.0
1607,167.0
1608,65.0
1609,214.0
1610,132.0
1611,55.0
1612,70.0
1613,189.0
1614,159.0
1615,292.0
1616,171.0
1617,60.0
1618,277.0
1619,218.0
1620,232.0
1621,437.0
1622,581.0
1623,648.0
1624,1000.0
1625,386.0
1626,328.0
1627,873.0
1628,1000.0
1629,143.0
1630,416.0
1631,752.0
1632,416.0
1633,1000.0
1634,549.0
1635,1000.0
1636,607.0
1637,1000.0
1638,1000.0
1639,811.0
1640,1000.0
1641,1000.0
1642,1000.0
1643,1000.0
1644,1000.0
1645,1000.0
1646,1000.0
1647,1000.0
1648,1000.0
1649,1000.0
1650,1000.0
1651,1000.0
1652,1000.0
1653,1000.0
1654,1000.0
1655,428.0
1656,1000.0
1657,1000.0
1658,1000.0
1659,1000.0
1660,1000.0
1661,1000.0
1662,778.0
1663,1000.0
1664,1000.0
1665,1000.0
1666,1000.0
1667,1000.0
1668,1000.0
1669,1000.0
1670,1000.0
1671,1000.0
1672,394.0
1673,263.0
1674,128.0
1675,165.0
1676,119.0
1677,150.0
1678,73.0
1679,50.0
1680,49.0
1681,65.0
1682,60.0
1683,66.0
1684,98.0
1685,65.0
1686,60.0
1687,49.0
1688,61.0
1689,84.0
1690,49.0
1691,52.0
1692,56.0
1693,59.0
1694,63.0
1695,48.0
1696,57.0
1697,67.0
1698,51.0
1699,56.0
1700,74.0
1701,68.0
1702,54.0
1703,82.0
1704,48.0
1705,43.0
1706,56.0
1707,52.0
1708,67.0
1709,46.0
1710,67.0
1711,61.0
1712,54.0
1713,74.0
1714,51.0
1715,56.0
1716,54.0
1717,54.0
1718,55.0
1719,61.0
1720,65.0
1721,54.0
1722,45.0
1723,54.0
1724,77.0
1725,55.0
1726,99.0
1727,60.0
1728,65.0
1729,55.0
1730,47.0
1731,56.0
1732,63.0
1733,55.0
1734,53.0
1735,70.0
1736,61.0
1737,62.0
1738,60.0
1739,60.0
1740,48.0
1741,92.0
1742,54.0
1743,52.0
1744,100.0
1745,61.0
1746,65.0
1747,95.0
1748,104.0
1749,48.0
1750,102.0
1751,104.0
1752,108.0
1753,45.0
1754,94.0
1755,88.0
1756,110.0
1757,68.0
1758,71.0
1759,111.0
1760,101.0
1761,75.0
1762,56.0
1763,68.0
1764,148.0
1765,61.0
1766,109.0
1767,109.0
1768,149.0
1769,107.0
1770,53.0
1771,112.0
1772,138.0
1773,116.0
1774,150.0
1775,110.0
1776,131.0
1777,117.0
1778,119.0
1779,156.0
1780,205.0
1781,193.0
1782,175.0
1783,117.0
1784,90.0
1785,473.0
1786,295.0
1787,245.0
1788,1000.0
1789,1000.0
1790,1000.0
1791,1000.0
1792,1000.0
1793,1000.0
1794,1000.0
1795,1000.0
1796,1000.0
1797,1000.0
1798,1000.0
1799,1000.0
1800,1000.0
1801,1000.0
1802,1000.0
1803,1000.0
1804,1000.0
1805,1000.0
1806,1000.0
1807,1000.0
1808,1000.0
1809,1000.0
1810,1000.0
1811,1000.0
1812,1000.0
1813,1000.0
1814,1000.0
1815,1000.0
1816,1000.0
1817,1000.0
1818,1000.0
1819,1000.0
1820,1000.0
1821,249.0
1822,990.0
1823,1000.0
1824,554.0
1825,428.0
1826,1000.0
1827,1000.0
1828,1000.0
1829,679.0
1830,1000.0
1831,1000.0
1832,536.0
1833,531.0
1834,392.0
1835,175.0
1836,165.0
1837,221.0
1838,801.0
1839,153.0
1840,476.0
1841,789.0
1842,1000.0
1843,120.0
1844,56.0
1845,297.0
1846,195.0
1847,649.0
1848,106.0
1849,128.0
1850,78.0
1851,53.0
1852,353.0
1853,112.0
1854,273.0
1855,185.0
1856,383.0
1857,335.0
1858,478.0
1859,883.0
1860,368.0
1861,87.0
1862,77.0
1863,413.0
1864,159.0
1865,248.0
1866,162.0
1867,261.0
1868,103.0
1869,220.0
1870,400.0
1871,334.0
1872,169.0
1873,167.0
1874,416.0
1875,68.0
1876,432.0
1877,535.0
1878,203.0
1879,499.0
1880,1000.0
1881,673.0
1882,1000.0
1883,1000.0
1884,1000.0
1885,1000.0
1886,1000.0
1887,1000.0
1888,335.0
1889,1000.0
1890,1000.0
1891,1000.0
1892,779.0
1893,623.0
1894,1000.0
1895,570.0
1896,1000.0
1897,570.0
1898,247.0
1899,760.0
1900,347.0
1901,1000.0
1902,602.0
1903,48.0
1904,362.0
1905,1000.0
1906,1000.0
1907,1000.0
1908,1000.0
1909,1000.0
1910,1000.0
1911,451.0
1912,1000.0
1913,1000.0
1914,1000.0
1915,1000.0
1916,1000.0
1917,1000.0
1918,1000.0
1919,1000.0
1920,1000.0
1921,1000.0
1922,1000.0
1923,1000.0
1924,1000.0
1925,1000.0
1926,1000.0
1927,1000.0
1928,923.0
1929,1000.0
1930,202.0
1931,515.0
1932,402.0
1933,508.0
1934,153.0
1935,542.0
1936,196.0
1937,272.0
1938,425.0
1939,427.0
1940,599.0
1941,148.0
1942,1000.0
1943,253.0
1944,1000.0
1945,1000.0
1946,1000.0
1947,1000.0
1948,1000.0
1949,461.0
1950,1000.0
1951,1000.0
1952,1000.0
1953,1000.0
1954,1000.0
1955,1000.0
1956,1000.0
1957,1000.0
1958,1000.0
1959,1000.0
1960,1000.0
1961,1000.0
1962,1000.0
1963,1000.0
1964,1000.0
1965,1000.0
1966,1000.0
1967,1000.0
1968,1000.0
1969,1000.0
1970,1000.0
1971,1000.0
1972,1000.0
1973,1000.0
1974,1000.0
1975,1000.0
1976,1000.0
1977,1000.0
1978,1000.0
1979,847.0
1980,1000.0
1981,1000.0
1982,1000.0
1983,1000.0
1984,1000.0
1985,1000.0
1986,1000.0
1987,1000.0
1988,1000.0
1989,1000.0
1990,506.0
1991,1000.0
1992,1000.0
1993,1000.0
1994,1000.0
1995,1000.0
1996,1000.0
1997,1000.0
1998,1000.0
1999,1000.0
2000,1000.0
2001,1000.0
2002,1000.0
2003,1000.0
2004,1000.0
2005,1000.0
2006,1000.0
2007,1000.0
2008,1000.0
2009,1000.0
2010,1000.0
2011,1000.0
2012,1000.0
2013,1000.0
2014,1000.0
2015,1000.0
2016,1000.0
2017,1000.0
2018,1000.0
2019,1000.0
2020,1000.0
2021,1000.0
2022,1000.0
2023,1000.0
2024,1000.0
2025,1000.0
2026,1000.0
2027,1000.0
2028,1000.0
2029,1000.0
2030,966.0
2031,1000.0
2032,890.0
2033,1000.0
